Paper Title,Abstract
Development of a low-cost Raspberry Pi-based electric piezocone system for cone penetration testing,"This study presents the development of a cost-effective Raspberry Pi-based electric piezocone system for Cone Penetration Testing with pore pressure measurement (CPTu). By utilizing a Raspberry Pi 4B as the data acquisition system (DAS), the proposed system offers a viable alternative to high-cost commercial geotechnical equipment, particularly in developing regions such as Bolivia. The system integrates high-precision sensors to measure tip resistance (q<inf>c</inf> ), sleeve friction (f<inf>s</inf> ), and pore-water pressure (u<inf>2</inf> ), ensuring accurate real-time soil characterization. Field validation demonstrated a strong correlation between the Raspberry Pi-based system and a commercial CPTu, with Pearson’s r coefficients of 0.69 for sleeve friction and 0.59 for tip resistance. The root mean square error (RMSE) for tip resistance was 2.236 MPa. At the same time, for sleeve friction, it was 46.143 kPa, indicating that while the system provides reliable data, further calibration may improve accuracy. The soil classification results identified predominant layers of stiff sand and sand with silt, aligning with conventional CPTu interpretations. The affordability and adaptability of this system make it a practical solution for geotechnical investigations in resource-constrained environments, offering a functional alternative at a significantly lower cost than commercial CPTu systems. The use of open-source technology also enables real-time data monitoring, customization, and potential integration with machine learning for automated soil classification. Future research will focus on refining sensor calibration, enhancing data analytics, and expanding Internet of Things (IoT) capabilities to improve remote monitoring and streamline geotechnical testing applications. © 2026, Associacao Brasileira de Mecanica dos Solos. All rights reserved."
Assessment of Serum Ferritin Levels and Periodontal Indices in Patients with Chronic Periodontitis Post/Pre Radiation Treatment of Head and Neck Cancer; Evaluación de los niveles séricos de ferritina e índices periodontales en pacientes con periodontitis crónica antes y después del tratamiento con radioterapia por cáncer de cabeza y cuello,"Acute phase protein (APP) positivity is exhibited by ferritin in the presence of inflammation and chronic infections, such as periodontal disease. This study aims to investigate serum ferritin levels compared between post-and pre-radiation of periodontal disease with head and neck cancer PD+HNC. A total of 100 individuals in the present study were enrolled, comprising 50 patient’s periodontal disease (PD) with head and neck cancer who underwent radiotherapy post-six months (post-RT HNC) and 50 PD patients (pre-RT HNC). Probing pocket depth (PPD), clinical attachment level (CAL), gingival bleeding index (GBI), plaque index (PI), oral pH, and hyposalivation were noted. Serum ferritin levels were measured using an electrochemiluminescence immunoassay (eCLIA). A significantly higher percentage of ferritin levels was found in patients post-RT PD+HNC (301.90 ng/ml) contrasted to pre-RT PD+HNC (82.71 ng/ ml) subjects. Serum ferritin levels were shown to be significantly positively correlated with CAL, PPD, PI, and GBI in subjects with chronic periodontitis. Receiver operating characteristic results of ferritin (area under the curve (AUC) =0.806 for post-RT PD+HNC, AUC=0.454 for pre-RT PD+HNC). It may be suggested that elevated serum ferritin levels in patients with post-RT PD+HNC have the potential to be evaluated as biomarkers for inflammation during periodontal tissue breakdown via radiation treatment. © 2025 Ahmed A. Al-Kubaisi, Abdulrahman Khalid Mssdf, Sameer A. Awad, Khalid H. Ibrahim, Mahmood Yaseen Mukhlif, Ekram R. Aldelaimi."
Artificial intelligence for breast cancer management,"Artificial intelligence is transforming breast cancer management through various machine learning applications. Artificial intelligence supports precision medicine by enhancing detection, diagnosis, prognosis, and treatment response prediction. It achieves this by analysing data from medical imaging, histopathology, genomics and multi-omics sources to improve patient recovery. This review summarises AI-driven advancements across the entire continuum of breast cancer management, spanning detection, diagnosis, prognosis, treatment and recovery. It evaluates their efficacy and limitations, explores their impact on healthcare costs and clinical practice, and addresses key challenges including generalisability, reproducibility and regulatory barriers. Evidence from recent studies highlights AI’s role in improving breast cancer detection, molecular subtyping and prognostic accuracy. It also facilitates more patient-tailored therapeutic strategies and supports quality of life interventions. Nonetheless, the translation of these benefits into clinical practice requires rigorous validation, transparent model development, and equitable implementation. (Figure presented.) © The Author(s) 2026."
Integrating 3D Bioprinting and AI in Healthcare,"Purpose of Review: This review addresses the convergence of 3D bioprinting with artificial intelligence (AI) and machine learning (ML) as a new frontier in healthcare to revolutionize personalized medicine. The article first discusses several key components such as pre-printing, material selection, post-printing, and role of AI/ML algorithms during the printing process by predicting tissue construct outcomes and optimizing bioprinting parameters. It follows with discussion of applications of AI-integrated 3D bioprinting such as for drug testing models, surgical planning, and the production of regenerative combination therapies. Finally, it discussed several challenges including ethics, data privacy and security, and governmental regulations in the field of AI driven bioprinting process. Recent Findings: By leveraging AI within the 3D bioprinting process, healthcare practitioners can enhance bioprinting fidelity and automate error corrections. Overall, there are several key components of AI-driven bioprinting, including aspects of pre-printing, material selection, and post-printing. AI/ML algorithms can play a vital role during the printing process by predicting tissue construct outcomes and optimizing bioprinting parameters. Additionally, cybersecurity measures, including blockchain and secure networks, are essential to safeguard the bioprinting process against potential threats. Applications of AI-integrated 3D bioprinting include drug testing models, surgical planning, and the production of regenerative combination therapies. Despite the potential of integrating AI and 3D bioprinting in healthcare, several challenges have been identified, including ethics, data privacy and security, and governmental regulations. Summary: This review highlights the promise of AI in healthcare, which is vast, and aims to understand its potential for the 3D bioprinting area. AI requires robust governance frameworks, ethical standards, and interdisciplinary collaboration to ensure responsible innovation, transparency, and regulatory alignment. By addressing these considerations, scientistswill be critical to accelerate AI driven bioprinting and deliver impactful, patient-centered solutions in the future. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026."
The value for money of artificial intelligence-empowered precision medicine: a systematic review and regression analysis,"Artificial intelligence has empowered precision medicine (AI-PM) to transform healthcare. This study synthesized available evidence on the cost-effectiveness of AI-PM. We systematically searched five major databases for economic evaluations of AI-PM, extracted data, and assessed risk-of-bias using the Bias in Economic Evaluation (ECOBIAS) checklist. For cost-utility analyses, the value-for-money was quantitatively summarized, and regression analyses incorporating machine learning were conducted to explore value heterogeneity. Forty-eight economic evaluations were included, of which 31 were cost-utility analyses. Although risk-of-bias assessment indicated potential systematic optimism, AI-PM was cost-saving or cost-effective in 89% of base-case analyses, with incremental cost-effectiveness ratios ranging from dominant to $129,174/quality-adjusted life-year (QALY). Interquartile ranges of incremental costs (−$259 to $28), QALY gains (0.001–0.019), and net monetary benefits (NMB; $18 to $986 at a willingness-to-pay threshold equal to one-time per-capita GDP) indicated modest health gains at minimal additional costs, and likely high value heterogeneity. Modeling choices and system-level factors were identified as essential sources of heterogeneity in estimated NMBs. Additional value assessment revealed low adaptability and underreported key value factors, leaving significant uncertainties in AI-PM adoption. © The Author(s) 2025."
Advancing the modernization of traditional Chinese medicine through artificial intelligence and multimodal data integration,"Traditional Chinese Medicine (TCM) is a valuable medical treasure trove that not only demonstrated unique advantages in treating complex and refractory diseases but also left behind a rich legacy of ancient texts and valuable evidence-based medical data based on its human experience for future generations. Nevertheless, the extensive data within TCM has been plagued by challenges, including inadequate data standardization, inconsistent data quality, limited data structuring, and obstacles in interdisciplinary integration. Recent advancements in artificial intelligence (AI) techniques have markedly improved the efficiency and effectiveness with which multimodal data in TCM, including machine learning (ML), deep learning (DL), knowledge graphs (KG), and natural language processing (NLP), particularly large language models (LLMs). These advancements have facilitated more precise data analysis, enhanced clinical decision-making, and improved research outcomes in TCM, such as target discovery, virtual screening of natural products (NPs), symptom differentiation and auxiliary prescription. This article presents a comprehensive review of the progress in applying AI across four dimensions: multiscale data in TCM, TCM research and development, TCM diagnosis and treatment, and LLMs. In summary, the application of AI technology in the modernization of TCM is expected to motivate researchers to achieve a deeper understanding of state-of-the-art applications in data-driven TCM complex systems, fundamental scientific research, and precision medicine, thereby bringing more opportunities and innovations for the modernization of TCM. © The Author(s) 2026."
Innovative AI model for bladder cancer diagnosis,"Objectives: Bladder cancer is one of the most common malignancies of the urinary system, and early diagnosis and treatment are crucial for improving patient prognosis. Methods: In this study, we developed an artificial intelligence (AI) model for bladder cancer diagnosis using CT imaging data from our hospital and The Cancer Imaging Archive (TCIA). The model was trained and validated using a large dataset of CT images, and its diagnostic accuracy was assessed through various performance metrics. The AI model was constructed using deep learning techniques, which can automatically learn and extract features from CT images. Retrospective CT data from our hospital and TCIA were used to train the AI model. Performance metrics were evaluated, and the Grad-CAM results were reviewed by radiologists. Results: The test–set accuracy exceeded 0.90, and Grad—CAM correctly highlighted tumors. Conclusions: The AI model offers accurate and transparent bladder—cancer detection on routine CT scans and merits prospective validation. © The Author(s) 2025."
“Enhancing early detection of oral cancer: a comparative study of artificial intelligence models and clinical specialist in lesion classification”,"Background: Oral cancer remains a major global health issue, with timely diagnosis being essential due to its varied clinical presentation. This study explores how artificial intelligence (AI) can support early detection by analyzing intraoral photographs. Methods: A cross-sectional analysis was performed using 518 intraoral clinical images collected from the Department of Oral Medicine, Kerman Faculty of Dentistry, between 2009 and 2023. The dataset comprised 104 images of malignant lesions and 414 of benign or normal tissue, all confirmed by a specialist in oral pathology. Three pretrained deep learning models, DenseNet-121, EfficientNet-B0, and ResNet-50, were evaluated for their ability to classify lesions as malignant or benign. The data were split into training (80%) and testing (20%) sets, with preprocessing completed before analysis. Results: Among the models, DenseNet-121 demonstrated superior performance, achieving 91% accuracy, 75% sensitivity, 98% specificity, 75% positive predictive value, 96% negative predictive value, an F1 score of 84%, and an area under the curve of 90%. These results exceeded the diagnostic accuracy of an experienced oral specialist. Conclusion: AI-based analysis of clinical images can significantly improve early oral cancer detection and should be integrated into clinical workflows to enhance diagnostic precision. © The Author(s) 2025."
Artificial intelligence for early diagnosis in emergency department,"In recent years, artificial intelligence (AI) has become an increasingly prominent player in emergency medicine, offering innovative tools to enhance the early diagnosis of acute conditions. This systematic review explores how AI, particularly through machine learning (ML) and deep learning (DL), is transforming the way physicians and healthcare professionals respond to high-stakes clinical scenarios. The evidence gathered shows that smart algorithms are capable of detecting complex patterns in clinical, diagnostic, and laboratory data, patterns that may even elude expert clinicians, especially under the high-pressure environment of the emergency room. From acute coronary syndrome to stroke, from sepsis to respiratory failure, AI has demonstrated impressive predictive power and provides real, practical support in risk stratification, triage optimization, and faster diagnosis. Equally important is its role in automated medical image analysis, which enables quicker and more accurate diagnostic decisions, offering real-time support for clinicians. However, the widespread adoption of these technologies also brings significant challenges: the need for algorithmic transparency, the necessity of earning the trust of healthcare providers, and the sensitive ethical issues related to patient data privacy. To overcome these barriers, it is essential to involve healthcare professionals in the development and implementation of AI technologies—ensuring their clinical expertise complements the analytical power of these new tools. Targeted training programs and large-scale validation studies are critical steps for ensuring the safe and effective use of AI. Ultimately, this review confirms that AI holds great promise as a catalyst for a more efficient, timely, and patient-centered approach to emergency medicine. © The Author(s) 2026."
The application of artificial intelligence in veterinary oncology: a scoping review,"Background: The application of artificial intelligence (AI) in veterinary oncology is rapidly expanding, mirroring its advancements in human medicine. This field is uniquely positioned to offer bi-directional insights due to the spontaneous development of cancers in companion animals that are similar to those in humans. However, a comprehensive understanding of the current research landscape is lacking. This scoping review was conducted to systematically map the literature on AI in veterinary oncology, identifying the clinical applications, techniques, and data sources being utilized, as well as the major challenges hindering clinical translation. Results: The review included 69 studies, revealing a field with a strong focus on diagnostic applications in canine patients, particularly for common tumor types such as lymphomas, (sub-)cutaneous and mammary tumors. The most mature applications involve image-based diagnostics, including digital pathology and radiomics, where deep learning models have demonstrated high performance in tasks like tumor grading and non-invasive characterization. While emerging applications in treatment planning and multimodal data fusion show great promise, the overall field is limited by a pervasive reliance on small, single-source datasets and a lack of external and prospective validation. Conclusions: The application of AI in veterinary oncology has produced powerful proof-of-concept models, particularly in diagnostics, with a clear potential to augment clinical practice. However, the path from research to clinical implementation is hindered by fundamental challenges, including the data bottleneck and validation gap. To fulfill its transformative potential, the field must prioritize a shift from isolated studies to collaborative, large-scale research efforts that generate standardized, public datasets and emphasize rigorous external validation. By doing so, the community can ensure the development of generalizable AI models that will truly improve cancer care for veterinary patients. © The Author(s) 2025."
